0|Brodmann's Area 1|2
1|Brodmann's Area 2|2
2|Brodmann's Area 3|2
3|Brodmann's Area 4|3
4|Brodmann's Area 5|4
5|Brodmann's Area 6|5
6|Brodmann's Area 7|6
7|Brodmann's Area 8|7
8|Brodmann's Area 9|9
9|Brodmann's Area 10|11
10|Brodmann's Area 11|12
11|Brodmann's Area 13|13
12|Brodmann's Area 17|15
13|Brodmann's Area 18|16
14|Brodmann's Area 19|18
15|Brodmann's Area 20|20
17|Brodmann's Area 21|21
18|Brodmann's Area 22|23
19|Brodmann's Area 23|25
20|Brodmann's Area 24|26
21|Brodmann's Area 25|27
23|Brodmann's Area 27|29
24|Brodmann's Area 29|30
25|Brodmann's Area 30|31
26|Brodmann's Area 31|32
27|Brodmann's Area 32|33
29|Brodmann's Area 37|34
30|Brodmann's Area 38|35
31|Brodmann's Area 39|36
32|Brodmann's Area 40|37
34|Brodmann's Area 41|38
35|Brodmann's Area 42|39
36|Brodmann's Area 43|40
37|Brodmann's Area 44|41
38|Brodmann's Area 45|42
39|Brodmann's Area 46|44
40|Brodmann's Area 47|45
