    1|  0
    1|  1
    1|  2
    1|  3
    1|  3
    1|  4
    1|  5
    1|  6
    1|  7
    1|  8
    1|  9
    1| 10
    
    2| 11
    2| 12
    2| 13
    2| 14
    2| 15
    2| 16
    2| 17
    2| 18
    2| 19
    2| 20
    2| 21
    
    3| 22
    3| 23
    3| 24
    3| 25
    3| 26
    
    4| 27
    5| 27
    4| 28
    4| 29
    4| 30
    4| 31
    5| 31
    4| 32
    5| 32
    4| 33
    5| 33
    4| 34
    4| 35
    4| 36
    4| 37
    4| 38
    5| 38
    4| 39
    4| 40
    4| 41
    4| 42
    
    5| 43
    5| 44
    5| 45
    5| 46
    5| 47
    5| 48
    5| 49
    5| 50
    5| 51
    5| 52
    5| 53
    5| 54
    5| 55
    5| 56
    5| 57

